ActualPower;Max Capacity;Location 1;Location 3;Location 5;Location 7
3.742;45;2.9;4.442;4.495;4.681
3.51;45;3.5;4.281;4.335;4.522
3.652;45;4;4.096;4.153;4.341
3.881;45;4.2;3.905;3.96;4.143
4.135;45;2.9;3.725;3.773;3.948
3.531;45;5;3.539;3.578;3.741
1.899;45;5.8;3.369;3.4;3.543
1.219;45;6.1;3.118;3.145;3.253
1.195;45;5.1;2.824;2.852;2.936
1.146;45;5.2;2.692;2.73;2.8
0.804;45;6.1;2.553;2.606;2.677
0.407;45;6.1;2.365;2.443;2.535
0.138;45;5.5;0.964;1.144;1.244
0.709;45;5.1;1.079;1.308;1.404
1.062;45;4.8;1.148;1.386;1.506
0.884;45;4.7;0.468;0.14;0.046
0.763;45;4.9;0.486;0.177;0.164
0.378;45;4.1;0.451;0.27;0.309
0.53;45;3.9;0.446;;0.416
0.676;45;4.1;0.538;0.396;0.524
0.73;45;3.1;0.662;0.437;0.603
0.819;45;3.5;0.777;0.499;0.681
0.857;45;2.5;0.884;0.609;0.806
0.982;45;0.1;0.93;0.679;0.887
1.053;45;0.4;0.943;0.728;0.928
1.04;45;1.5;0.91;0.72;0.906
1.229;45;1.1;0.826;0.636;0.783
1.17;45;0;0.694;0.496;0.591
1.649;;0.7;0.505;0.307;0.384
2.519;45;2.1;0.328;0.124;0.284
2.768;45;1.7;0.277;0.14;0.344
3.581;45;2.7;0.293;0.33;0.541
3.987;45;1.9;0.431;0.588;0.831
4.427;45;2.9;0.671;0.872;1.119
4.001;45;2.6;0.992;1.237;
4.512;45;3;1.389;1.644;1.894
4.252;45;3.5;1.749;2.095;2.158
4.474;45;3.3;1.966;2.349;2.35
6.454;45;3.3;2.165;2.583;2.556
9.429;45;4.2;2.619;3.179;3.047
10.861;45;3.1;2.918;3.455;3.281
14.859;45;3.7;3.311;3.735;3.522
20.151;45;3.4;3.761;4.011;3.733
18.865;45;3.5;3.976;4.151;3.868
15.237;45;3.5;4.06;4.142;3.865
15.708;45;3.8;4.085;4.08;3.788
16.776;45;3.9;4.118;4.063;3.743
16.471;45;3.5;4.222;4.154;3.831
18.873;45;4;4.401;4.32;4.063
22.816;45;4.6;4.61;4.496;4.368
23.736;45;3.9;4.815;4.658;4.568
27.303;45;3.4;5.074;4.878;4.768
21.592;45;;5.426;;5.073
20.7;45;6.1;5.768;5.616;5.46
24.131;45;7.2;5.995;5.923;5.841
24.359;45;6.6;6.098;6.098;6.137
20.755;45;7.6;6.146;6.186;6.326
18.081;45;7.4;6.202;6.258;6.445
14.496;45;7.9;6.274;6.338;6.54
8.407;45;6;6.356;6.427;6.627
9.119;45;6.6;6.452;6.526;6.708
9.018;45;7.5;6.575;6.638;6.783
8.678;45;7.7;6.727;6.762;6.859
10.143;45;7.3;6.881;6.877;6.928
12.966;45;7.4;6.985;6.949;6.963
12.504;45;7.9;7.034;6.98;6.977
11.835;45;8.1;7.035;6.977;6.975
12.391;45;6.8;7.022;6.976;6.993
13.4;45;7.8;7.024;6.992;7.039
14.854;45;8.7;7.028;7.006;7.082
11.948;45;8.4;7.043;7.031;7.131
10.821;45;8.3;7.079;7.074;7.187
8.582;45;7.4;7.131;7.143;7.256
;45;6.7;6.731;6.821;6.986
4.721;45;6.2;6.713;6.701;6.822
3.603;45;8.9;7.138;7.156;7.143
3.454;45;7.9;7.251;7.274;7.291
3.123;45;5.7;7.357;7.374;7.407
3.138;45;5.4;7.397;7.424;7.456
3.741;45;6;7.434;7.438;7.457
3.815;45;6.8;7.508;7.494;7.501
5.425;45;6.8;7.597;7.566;7.568
4.621;45;5.8;7.708;7.668;7.673
